"學年度","學校代碼","學校名稱","科系代碼","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生","縣市名稱","體系別"
112,0001,國立政治大學,02322008,中國文學系,D 日,M 碩士,87,38,49,7,13,10,8,10,10,11,18,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,02322008,中國文學系,D 日,B 學士,328,79,249,23,60,8,58,14,55,27,46,0,0,0,0,0,0,7,30,30 臺北市,1 一般
112,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,75,10,65,1,17,5,16,3,14,1,11,0,7,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,02323002,華語文教學博士學位學程,D 日,D 博士,14,2,12,0,2,0,1,0,3,1,2,1,2,0,0,0,2,0,0,30 臺北市,1 一般
112,0001,國立政治大學,02323002,華語文教學碩士學位學程,D 日,M 碩士,56,7,49,1,15,1,7,4,19,1,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,02399018,語言學研究所,D 日,D 博士,5,2,3,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,30 臺北市,1 一般
112,0001,國立政治大學,02399018,語言學研究所,D 日,M 碩士,38,9,29,2,9,3,8,3,7,1,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03111024,經濟學系,D 日,D 博士,7,6,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03111024,經濟學系,D 日,M 碩士,100,60,40,25,22,27,14,6,4,2,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03111024,經濟學系,D 日,B 學士,395,205,190,37,44,46,42,51,49,56,41,0,0,0,0,0,0,15,14,30 臺北市,1 一般
112,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,45,17,28,9,12,8,10,0,3,0,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03121026,政治學系,D 日,D 博士,18,12,6,2,1,2,1,1,1,1,0,2,1,2,1,2,1,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03121026,政治學系,D 日,M 碩士,69,45,24,10,5,11,8,13,5,11,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03121026,政治學系,D 日,B 學士,220,90,130,25,26,19,34,17,32,22,26,0,0,0,0,0,0,7,12,30 臺北市,1 一般
112,0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,65,43,22,13,5,18,8,6,8,3,1,3,0,0,0,0,0,0,0,30 臺北市,1 一般
